Names,Male,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn
Gary Bryant,0,39,8646.2,0,2.94,9,2010-07-21 16:56,"636 John Road Suite 304 Morrisonshire, MN 04090-3035",Newman-Phillips,0
Jeffrey Thompson,0,42,6523.74,0,2.71,8,2013-06-06 3:51,"7280 Douglas River Apt. 701 Suzanneport, KS 56534","Peters, Rodriguez and Smith",0
Johnny Watts,0,56,8626.48,1,5.07,7,2011-06-13 5:25,"62761 Edwin Overpass Joshuabury, PA 98754-4095","Jacobs, Martinez and Bond",0
Stephanie Juarez,1,41,5191.08,0,6.29,7,2016-12-07 2:57,"026 Brown Springs Suite 306 Lindsayville, MD 06840","Gonzalez, Willis and Moody",0
James Velazquez,1,38,7097.52,1,4.68,6,2009-08-11 9:43,"91449 Warren Land Hallberg, SD 39520-2416","Williams, Wilcox and Mitchell",0
Erin Hall,0,41,13277.82,0,4.84,9,2009-02-21 5:30,"43775 Michael Curve Apt. 937 South Patricia, MN 13454-1801",Lawson-Carter,0
Justin Campos,1,53,3263,1,2.77,9,2013-11-11 22:49,"3483 Davis Viaduct Guzmanmouth, RI 60858",Hall-Butler,0
Jessica Flores,1,52,14669.61,0,6.28,9,2012-08-30 14:53,"38975 Jennifer Harbor Apt. 491 West Cody, WA 38692-1960",Wright Ltd,0
Richard Bell,0,47,13359.2,1,4.55,8,2016-07-29 8:39,"007 Davis Squares Flynnchester, SC 79849",Anderson Group,0
Betty Bowers,0,43,12078.39,1,6.06,6,2014-10-31 16:00,"79062 Henson Expressway Williamsview, PR 54326-7935",Davis Ltd,0
Rebekah Burns,1,48,8513.75,1,8.24,10,2009-11-19 11:01,"81006 Armstrong Falls Suite 944 New Kellyborough, SD 34820-7157","Bruce, Craig and Fletcher",0
James Rivas,0,38,9557.2,0,4.47,8,2007-01-10 7:29,"90866 Harmon Radial North Jennifermouth, MI 55389","Allen, Hernandez and Bryant",0
Robert Terry,1,44,6517.22,0,4.55,12,2010-04-23 0:50,"3480 Joseph Hollow South Stanley, ME 17014-2360",Cole-Hartman,0
Christian Mann,1,40,4762.81,1,5.12,10,2008-03-10 1:30,"53545 Susan Views Suite 594 New Pamela, OK 73980-0288",Gallagher-Foster,0
Christopher Yates,1,45,6452.83,1,4.41,6,2012-08-20 15:56,"PSC 7127, Box 3035 APO AP 88800-1111","Hernandez, Middleton and Brewer",0
Cynthia Daniels,0,31,8688.21,0,3.58,7,2007-09-06 18:15,"496 Klein Ports Quinnstad, NE 67656",Jackson-Terry,0
Kellie Ryan,0,32,12254.75,1,5.32,9,2014-05-26 11:13,"275 Patricia Hills Ronnieborough, AK 71437-9508","Reeves, Flores and Bauer",0
David Payne,1,39,5914.3,1,2.3,9,2008-03-30 6:50,"882 Schneider Inlet Paigeburgh, NJ 33304",Aguirre LLC,0
Henry Cook,1,45,11486.53,1,5.5,7,2009-12-08 0:18,"071 Michelle Green New Jasonview, AL 90525-9261","Newton, Shepard and Berg",0
Jamie Moore,1,51,6114.85,1,4.7,9,2013-11-10 1:54,"435 Hernandez Inlet Apt. 727 Josephfort, RI 51403",Herrera-Dodson,0
Kimberly Lewis,0,52,11828.78,0,5.95,10,2013-09-17 17:17,Unit 6752 Box 0928 DPO AA 53116-2490,Fischer-Garrison,0
Darren Chavez,1,35,10166.67,0,4.65,10,2009-11-17 17:45,"PSC 5667, Box 8312 APO AP 00654","Hatfield, Lane and Solomon",0
Andrea George,1,43,12691.45,0,4.45,11,2014-09-19 8:46,"9089 Jennifer Brooks Suite 571 New Lisa, WA 53342-5359","Johnson, Fields and Anderson",0
Luis Evans,0,45,9903.78,1,5.31,9,2009-05-19 7:17,"9273 Scott Springs Suite 665 Mcintyreland, DC 54306","Coffey, Lopez and Taylor",0
Jonathan Collier,0,46,10363.63,0,5.84,10,2016-08-10 20:11,Unit 2672 Box 5909 DPO AE 56165-8636,"Turner, Hodges and Turner",0
James Adkins,1,35,8475.8,0,3.37,11,2013-09-10 12:56,"2311 Henderson Centers Conniehaven, MP 16886-3947","Taylor, Reynolds and Hoffman",0
Tamara Keith,1,39,13091.92,1,4.74,9,2014-01-13 13:54,"82367 Austin Square Suite 115 New Cheyenne, UT 08356-0301",Mueller Ltd,0
Teresa Thompson,1,37,13036.52,1,3.83,6,2009-02-26 12:56,"762 Donald Field Suite 361 South Ronald, ME 08806","Snow, Martin and Fowler",0
Andrea Ortiz,1,40,9521.35,0,5.8,9,2009-01-12 14:37,"7645 Huff Lights Suite 209 Stephenmouth, GA 01888","Barron, Tapia and Black",0
Stefanie Miranda,1,37,5039.46,0,4.08,8,2007-09-12 16:27,"002 Gutierrez Mountains Hayesburgh, GU 73502-4691",Morrison-Pennington,0
Becky Cardenas,1,51,13762.79,0,7.52,9,2006-09-11 4:55,"9103 David Drives Wilsonport, PA 79287",Lewis LLC,0
Maria Stanley,0,46,8941.92,1,5.43,9,2010-01-15 17:22,"17836 Julie Drives North Thomas, MI 27198","Conner, Munoz and Wilson",0
Judy Montes,1,32,12479.72,0,4.67,8,2015-03-20 2:09,"405 Amanda Junctions West Dustinshire, MH 84757-2573",Fischer PLC,0
Nicole Williams,1,41,9139.73,1,5.15,10,2011-08-21 1:38,"05077 Richard Lane Apt. 002 New Tracy, FM 56599-7849","Bautista, Strong and Campbell",0
Dalton Sexton,0,46,10406.58,0,7.24,11,2015-10-24 15:49,"91864 Tommy Manor Suite 933 East Tyrone, MN 86821","Hall, Taylor and Charles",0
Michael Payne,1,44,11768.65,0,5.54,7,2006-03-06 0:42,"59672 Nash Cove Apt. 855 Jeremyshire, GU 93725",Campbell-Davenport,0
Keith Bowman,0,46,14664,0,6.54,8,2012-09-30 2:34,"36569 Richard Run Jacksonmouth, MN 02512",Garrett-Turner,0
Jason Phillips,1,46,8418.81,1,7.19,6,2014-09-29 0:31,"8928 Benjamin Summit Suite 264 North Samanthabury, AR 01364-7776",Davis-Bass,0
Christopher Daniels,0,34,6461.86,1,4.61,8,2008-10-15 13:31,"88563 Jeffery Manor North Mathew, OK 19970-2973",Schultz-Newman,0
Lindsey Moreno,0,39,14317.2,0,5.03,7,2014-12-02 15:56,"38769 Zachary Road Apt. 706 Port Michaelview, MA 73304-2019",Davies-Braun,0
James Evans,1,42,4492.44,1,6.43,9,2013-01-16 16:29,"17140 Andrea Motorway Apt. 798 Amychester, WV 88972-7283",Hughes Ltd,0
Kristine Moreno,0,29,13240.01,1,4.58,6,2012-08-09 16:07,"541 Mills Rest Lake Cynthia, PR 71752",Garcia Ltd,0
Stefanie Whitaker,0,35,7814.68,1,5.99,9,2013-08-27 0:56,"7967 Waters Way Suite 678 New Ericport, HI 48528",King-Frye,0
Monica Todd,1,35,11255.38,0,6.28,4,2007-04-04 8:32,"104 Ruben Rapid Apt. 107 New Andrea, FM 58602",Peterson PLC,0
Matthew Beck,0,49,13165.68,0,5.49,9,2010-02-10 17:43,"29322 Linda Via Martinside, IA 14495",Taylor-Cain,0
Donna Good,1,37,12713.9,0,9.15,8,2009-11-23 17:54,USNV Hill FPO AE 43418,"Alexander, Goodwin and Johnson",0
Sarah Flores,0,40,11527.08,1,5.04,8,2007-11-17 9:06,USNV Morgan FPO AE 62096-4614,"Cervantes, Rice and Strickland",0
Joshua Kirby,1,54,8375.73,1,4.42,7,2007-10-24 3:45,"5079 Cole Circle New Patriciaton, CT 49306-7555",Moore-Johnson,0
Keith Robertson,1,41,11968.78,0,5.08,6,2010-11-21 12:52,"52601 Burns Lane West Courtney, TN 00410-3545",Spencer Group,0
Dustin Dodson,0,48,7761.2,0,7.02,9,2011-01-12 13:52,USNV Villanueva FPO AE 89160-6979,"Serrano, Moss and Bass",0
Frances Jenkins,1,32,6367.22,1,2.84,10,2015-01-03 18:57,"80428 Harris Islands Ethanfurt, CT 42032-8161",Boyd-King,0
Deborah Meyer,0,44,7599.36,1,6.41,6,2008-01-10 11:48,"47051 Luna Mission North Susanchester, MH 55279-4332",Smith Group,0
Latasha Schwartz,0,40,7642.2,0,5.04,9,2007-11-11 17:05,"90098 Lloyd Drive North Johnside, AR 39045-5361",Chambers-Wyatt,0
Ashley Jacobs,0,38,11621.67,1,6.11,9,2013-07-06 19:20,"018 Mark Centers Suite 973 Mckinneyland, VT 26361-8406",Williamson-Walker,0
Michael Brown,0,47,9365.92,1,4.37,5,2013-06-10 21:51,"4972 Michael Village Suite 788 West Rachelstad, NH 04946-6243","Smith, Diaz and Warren",0
Darlene Cain,0,29,12711.15,0,5.74,7,2011-08-10 21:19,"33852 Susan Pine Apt. 606 Lake Spencer, KY 80977",Velasquez PLC,0
Abigail Gonzalez,0,55,8243.28,0,3.54,6,2014-01-09 19:52,"325 Lawrence Crossing Suite 269 South Josephhaven, OK 53193-5178",Nelson PLC,0
Christina Martin,1,51,10269.97,1,4.85,8,2007-08-09 12:55,"43807 Barnes Bridge Lake Richardport, AR 10206-6207","Carroll, Green and Jones",0
Robert Adams,1,38,13366.66,1,5.64,7,2008-06-10 21:06,"675 David Bypass Suite 331 West Andrea, VA 63193",Powers Ltd,0
Megan Avila,1,40,12401.58,1,5.75,9,2013-11-18 16:25,Unit 6546 Box 3116 DPO AE 29548,"Roberts, Edwards and Young",0
Ann White,1,43,8950.33,0,6.76,9,2008-06-25 0:45,"91968 Pena Stream Apt. 094 New Justin, GU 24101",Hancock LLC,0
Dr. Lauren Brown,0,41,10806.13,1,4,6,2010-01-27 13:34,"964 Long Road Suite 539 New Sharonmouth, ID 56171-3878",Morales PLC,0
Shane Jones,1,38,7713.12,1,5.41,9,2016-02-15 15:45,"PSC 2239, Box 8378 APO AA 67843",Wise Inc,0
Amanda Moore,0,40,12455.75,1,6.64,9,2010-01-03 6:33,"356 Vickie Vista North Michaelstad, WA 26856","Green, Jackson and Green",0
Daniel Thompson,1,33,7492.9,0,6.71,7,2009-10-13 17:35,"243 Laura Gateway Mitchellport, FL 53705-6256",Maldonado-Goodwin,0
Andrew Moreno,0,43,12068.39,1,3.59,7,2008-03-28 21:32,"60669 Rivera Lights Suite 982 Michaelside, AK 96751",Williams Group,0
Catherine Lucas,0,40,7837.67,1,5.66,11,2009-05-18 15:10,"979 Joel Run Suite 561 Darlenetown, WA 27272",Andrade-Cook,0
Natalie Williams,1,45,9721.59,0,3.43,9,2006-07-24 16:11,"5605 Dunn Union Suite 923 Shanefort, IL 28178-4110",Nguyen Ltd,0
Mark Gordon,0,41,10028.23,1,5.52,9,2007-11-25 17:41,"56171 Hunt Fall Herreratown, OR 59549",Cole-Johnson,0
Mrs. Ashley Guerra,0,34,10466.56,0,5.34,7,2016-11-07 8:01,"3314 Lisa Row Suite 484 Port Stephanieview, KY 15941-8359",Garza PLC,0
Emily Roberson,0,36,12879.7,0,4.7,9,2013-07-08 19:24,"41199 Welch Stravenue Apt. 518 South Crystalshire, IA 58998-2407",Clements-Summers,0
Matthew Lane,1,49,13078.28,1,4.06,8,2008-02-22 10:20,"59446 Kaufman Trace East Josephburgh, HI 36514","Carter, Brown and Richards",0
Darren Brown,0,49,11584.59,1,4.84,6,2010-05-28 21:29,"080 Amber Village Apt. 472 Schroederbury, AZ 32357",Hall PLC,0
Alyssa Harper DDS,0,45,9874.69,1,2.41,9,2006-09-04 7:20,"63593 Hector Mission South Williambury, IA 79862-2416",Garza-Alexander,0
Jennifer Wood,0,48,11585.16,0,4.61,9,2012-03-13 3:24,Unit 5568 Box 1967 DPO AE 15638,"Gray, Campbell and Chandler",0
Taylor Grant,0,39,10643.67,0,5.54,10,2015-05-16 14:20,Unit 2836 Box 5288 DPO AP 28958-4427,Barnett-Herrera,0
Ryan Brown,0,34,12397.49,0,4.93,9,2016-01-24 10:04,"91641 Wright Views Stephenstad, MT 83238-3650","Gutierrez, Garcia and Miller",0
Peggy Allison,0,40,10780.71,1,5.33,9,2016-03-12 23:44,"913 David Mall Hooperburgh, MT 76387",Nelson-Murray,0
Douglas Acosta,0,40,8801.13,0,7.52,6,2016-05-26 20:27,"81459 Sarah Brook Suite 370 Lake Michael, MA 20035-7310","Clayton, Ferrell and Gaines",0
Victoria Hughes,1,45,7325.93,1,6,6,2009-05-16 11:03,"0918 Taylor Trail Apt. 385 West Caleb, ND 20637-7455","Douglas, Briggs and Sawyer",0
Michael Knox,1,36,7342.14,0,5.51,8,2015-10-08 18:55,"0115 Carter Camp Suite 403 New Andreashire, OK 92778",Scott and Sons,0
Laura Wright,0,37,12154.25,1,5.15,6,2015-06-17 23:25,"9534 Dodson Streets North James, TX 66878","Cunningham, Jackson and Schultz",0
Alexandra Phillips,1,32,9472.72,1,1,10,2009-03-26 5:25,"078 Ortega Vista Lake Gabriella, OK 18890-5973","Smith, Harris and Black",0
Lori Medina,0,39,3676.68,1,3.52,9,2008-07-16 11:36,"PSC 1874, Box 9238 APO AP 68299","Garcia, Hansen and Austin",0
Kristin Davis,1,50,6857.29,0,4.69,6,2014-07-08 19:50,"090 Sara Track Apt. 195 Mooremouth, MP 50670","Gonzalez, Castro and Martinez",0
John Richardson,0,52,10133.36,0,4.6,7,2014-02-24 17:27,"77435 Christopher Union Apt. 871 New Christophermouth, MA 95513-2675",Martinez Inc,0
Daniel Brown,0,51,4992.6,0,3.85,8,2016-02-12 22:38,"701 Alan Corners Port George, KY 15579-3799",Mosley Ltd,0
Eugene Rowe,1,50,12941.12,1,5.51,11,2015-06-23 9:54,"45548 Henderson Islands Bakerside, WV 92882-7688",Powell-Parker,0
Cody Middleton,0,36,11040.16,0,4.52,8,2010-04-14 22:03,"86871 Jimenez Crest Suite 849 East Bruce, MO 68426-6342",Lawrence and Sons,0
Kevin Chapman,0,35,8058.73,0,6.88,9,2016-02-29 18:23,"40094 Manning Pass Travisburgh, MT 80542",Ortega Group,0
Margaret Moore,0,44,10638.65,0,5.54,6,2010-06-04 3:04,"2556 Grant Points New Christopherton, CA 76121-6565",Wright PLC,0
Edwin Young,1,49,10226.43,0,6.02,8,2014-02-27 10:46,"6467 Brett Dam Houstonchester, DE 13162","Graham, Jones and Gonzalez",0
Teresa Bean,1,38,12020.62,0,4.41,8,2007-02-14 0:56,"4962 Christian Squares North Belinda, OK 98156-7957",Garza LLC,0
Justin Moore,1,51,12780.22,0,6.06,7,2015-04-04 11:06,"7790 Paul Street Sandraside, AR 55085","Callahan, Miller and Wallace",0
Sarah Morgan,0,51,6662.59,1,5.27,9,2009-10-03 9:42,"2458 Tyler Flats Suite 696 Rebeccaburgh, VA 79274",Braun-Cook,0
Amanda Hernandez,0,38,10298.29,1,5.07,9,2015-05-31 21:15,"4792 Amy Wall Apt. 296 Olsenchester, VA 69141-5857","Barry, Brown and Smith",0
Tammy Williams,1,52,9065.28,0,3.99,5,2009-12-13 18:17,"6720 Barbara Square Christopherchester, UT 54226",Lawrence-Johnson,0
Lawrence Gordon,1,44,8817.22,1,6.53,10,2009-09-23 9:35,"4041 Wise River Suite 828 West Todd, AR 08725-4767","Austin, Roberts and Cox",0
Jodi Thompson,1,35,11391.46,1,7.59,10,2011-12-28 11:02,"4379 Sandoval Stravenue Suite 998 New Ryanberg, NM 05443-2529",Soto PLC,0
Michelle Roberts,1,43,12531.39,0,3.97,6,2013-04-28 5:02,"5351 Ford Pike Apt. 399 Ericshire, IA 72849-0011",Marshall-Ho,0
Colton Foster,1,43,9200.69,1,2.6,11,2012-12-25 6:18,"01690 Andrews Park Wrightville, IN 00886","Jennings, Stout and Spencer",0
John Gardner,1,52,13368.21,1,4.09,9,2006-12-23 18:35,"16214 Henry Mission Pearsonside, PR 88434","Sherman, Lopez and Moran",0
Holly Flores,1,47,15878.11,1,2.05,8,2012-05-21 12:56,"37362 Anthony Corner Suite 462 Port Saraton, ND 49109-1547",Reyes-Crawford,0
William Branch,0,33,7720.61,1,4.97,10,2012-04-16 7:05,"90937 Andres Springs Apt. 164 Lindaland, TX 51026-5011",Mullen and Sons,0
Patricia Mckinney,0,34,9270.9,0,6.19,7,2007-04-29 18:47,"04146 Ronnie Mission Suite 310 Nicoleshire, CT 39413-3387","Lewis, Green and Garcia",0
Brandon Compton,1,44,8274.32,0,5.7,8,2016-07-21 2:39,"202 Richard Extensions Apt. 994 Pamelachester, IL 73985-9604",Sanchez-Cardenas,0
Monica Hernandez,0,38,9347.47,0,8.47,8,2006-01-23 16:23,"8151 Ross Gardens Apt. 699 Randallton, NM 53386-6929",Finley-Moore,0
Kathryn Petersen,1,40,12453.72,1,4.83,9,2006-10-03 9:45,"4030 Sullivan Viaduct Apt. 877 Lake Anthony, VT 89429",Nguyen-Wright,0
Shelia Phillips,1,39,8644.07,1,4.48,8,2016-05-14 14:37,"451 David Vista Apt. 799 Danielsview, ND 69312",Norman-Holloway,0
Sally Smith,1,45,11575.84,0,5.51,9,2012-08-02 9:18,"75262 Robert Centers Apt. 728 Vanessaside, TX 96244-2416",Webb PLC,0
Joshua Huff,1,49,8268.74,1,5.21,8,2009-01-19 4:53,"064 Laurie Manor Suite 944 East Jimmy, IN 53776","Rivera, Perkins and Brown",0
Daniel Washington,1,54,12147.83,1,4.17,8,2013-05-14 16:58,"1537 Mccullough Canyon Rodriguezview, AZ 74625-8762",Reeves-Scott,0
Joseph Anderson,0,48,8093.03,1,4.26,8,2016-10-12 23:20,"1317 Mcdaniel Plaza Suite 219 Colleenview, TX 81040-7425",Ingram LLC,0
Kylie Reynolds,1,28,9090.43,1,5.74,10,2014-06-18 0:45,"118 Natalie Islands Apt. 040 Lake Elizabeth, CO 60710",Cruz and Sons,0
Chelsea Marsh,0,41,9552.57,0,3.81,8,2015-02-05 6:36,"854 James Ranch Smithfort, WA 12954",Wright-Olson,0
Carlos Miller,1,47,9004.44,0,3.79,8,2015-03-08 8:03,"506 Arnold Greens Apt. 335 South Kyleton, DC 78683",Weaver Inc,0
Lindsey Adams,1,46,14361.38,0,4.52,8,2008-07-20 8:40,"283 Mccarthy Fork Hubbardfort, PW 58105-7552",Morris-Williams,0
Jerry Nguyen,0,36,8972.54,0,5.23,8,2009-06-16 4:20,"059 Angela Manor Latashaburgh, ID 26923-6555",Glenn-Nguyen,0
Mark Ingram,1,44,11611.28,0,5.8,11,2007-12-01 21:35,"5035 Donald Points Suite 375 West Shirleyhaven, TN 41021",Smith-Lewis,0
Casey Hess,1,43,9399.92,1,4.98,8,2014-08-07 7:57,"132 Angela Station Suite 770 Hillfort, LA 66223-8625",David-Woods,0
Gary Odom,1,37,7982.38,1,4.29,8,2009-01-15 17:39,"0349 Kimberly Ridges Michaelburgh, AK 08955",Moran Inc,0
John Snyder,0,36,6930.95,0,5.19,7,2013-06-01 17:31,"271 Rachel Village Westport, MT 33566-5694",Hardin Group,0
Karen Wade,1,38,11667.01,0,3.8,8,2015-10-21 23:30,"726 Jackson Lakes Apt. 693 Kennethshire, NM 58470-9850",Mitchell-Clark,0
Kathleen Salazar,0,31,5387.75,0,6.83,9,2008-02-07 9:54,"226 Zimmerman Haven Suite 223 Lake Jennifer, IN 39817",Morales-Miles,0
Mary Frank,0,33,10709.39,1,5.22,6,2006-02-02 12:29,"11007 Tara Plains Apt. 842 South Amy, AK 31218","Ellison, Pace and Vaughan",0
Lisa Reid,1,41,11623.42,1,4.18,9,2009-12-29 17:39,"499 Joshua Ramp Blankenshipmouth, AL 61436",Acosta PLC,0
Nathan Hammond,1,53,9683.85,0,5.89,8,2006-09-07 18:40,"731 Danielle Roads Suite 482 Lisaburgh, ME 92139","Smith, Burke and Gonzales",0
Theresa Terry,0,44,8819.13,1,4.38,10,2010-05-21 4:43,"2927 Butler Keys Suite 851 West Christophermouth, MS 35752-5027","Campbell, Moore and Garrett",0
John Jones,1,44,7736.13,1,4.48,8,2013-06-06 9:25,"2297 Jackson Island Robertsfort, NH 79212-4023",Day LLC,0
Teresa Smith,0,45,7158.66,1,6.25,7,2006-07-24 22:52,USCGC Fleming FPO AA 06534-5672,Villarreal-Ellis,0
Heather Thompson,1,50,9248.87,0,4.56,9,2014-01-30 10:39,"896 Lewis Wells Martinezstad, MO 12686","Jacobs, Arnold and Schwartz",0
Melanie Cain,1,40,11916.26,0,4.51,7,2015-01-10 0:21,"3046 Harrison Plains Montgomeryberg, ID 86180",Sims and Sons,0
Kenneth Graham,0,50,9641.61,0,3.09,5,2010-06-09 21:23,"43996 Parks Spring Hooperland, TX 05090-6018",King-Atkinson,0
Abigail Jennings,1,36,12309.23,1,4.76,9,2012-03-11 17:10,USS Mcgrath FPO AP 33786-7308,"Simpson, Byrd and Miller",0
Andrea Ford,1,40,11362.95,0,4.37,11,2010-10-08 22:11,"2519 Martin Ports Suite 635 Martinport, AL 55438",Patton Group,0
Johnathan Gonzalez,0,56,10074.4,1,5.17,7,2009-10-30 2:30,Unit 2030 Box 0281 DPO AE 67952-0118,Dixon PLC,0
Katie Khan,0,40,10762.29,0,5.02,7,2015-02-08 22:43,"05418 Smith Brooks Richardfurt, DE 40166-1384","Gutierrez, Jones and Winters",0
Michelle Johnson,0,30,8874.83,0,5.56,9,2006-10-11 7:09,"844 Charles Circles Suite 483 Davisborough, MH 73164-8781","Anderson, Miller and Wilson",0
Hannah Best,1,51,5830.99,0,6.93,6,2011-09-21 20:54,"PSC 5882, Box 7573 APO AA 41758-4009",Cantrell-Paul,0
David Morrison,1,35,8297.87,0,5.42,8,2009-11-30 6:01,"7000 Jack Lights Suite 115 Owensfurt, TN 18961-6571","Carpenter, Johnson and Krueger",0
Cindy Olson,1,33,5738.82,0,7.66,7,2014-08-02 9:05,"423 Victoria Plain Suite 444 Brennanland, AL 79485-6882",Mann Ltd,0
John Jackson,1,41,11655.82,1,7.92,9,2007-08-30 11:59,"5026 Susan Extension Apt. 261 South Thomas, UT 52610","Clark, Reid and Gardner",0
Christine Livingston,0,47,7362.18,0,6.57,7,2012-09-20 8:19,"2871 Campbell Ports Davenportmouth, MN 38485","Sellers, Hendrix and Gonzales",0
Mrs. Brittany Lopez,1,43,10938.11,0,3.21,8,2006-01-26 3:15,"2493 Robert Road South Denise, IA 86444",Brown-Weaver,0
Paula Willis,1,36,8514.8,1,4.01,11,2010-08-14 10:50,"8191 Lopez Prairie Apt. 038 Cookefurt, DE 64637-6065",Flores-Ochoa,0
Ryan Martin,0,34,8772.26,0,5.78,9,2014-02-14 14:40,"930 Carrie Harbor Suite 044 New Adamtown, MP 74903",Jones Inc,0
Roy Case,0,40,7656.02,1,5.62,9,2012-01-17 14:47,"PSC 1326, Box 7408 APO AA 41399-9709","Jennings, Gates and Villarreal",0
Henry Krueger,1,41,10375.39,0,5.54,8,2007-08-30 15:27,USNS Conway FPO AE 45887,Berg PLC,0
Jaime Padilla,1,46,7684.02,1,6.24,8,2011-04-26 19:04,"48403 Anderson Fields Apt. 103 New Jasonshire, NM 49852-3578",Richardson LLC,0
Barry Gallagher,1,52,6805.48,1,6.05,9,2010-06-04 12:28,"35333 Carla Keys Robinsonchester, CA 02095",Butler PLC,0
Andrew Young,1,30,6744.87,0,5.14,9,2014-04-10 3:33,"30316 Melissa Hills Apt. 368 Cynthiaborough, MN 06736",Morris LLC,0
Amy Henderson,1,31,10058.87,1,6.54,7,2011-02-07 17:54,"85837 Thomas Dam Nicholasview, MT 98793-4972",Knox-Davis,0
Theresa Ford,0,40,9133.36,0,4.21,7,2015-01-19 23:48,"9885 Mills Dale Suite 830 West Wendyton, WA 46448",Thornton Inc,0
Donald Flores,1,46,11580.56,1,3.43,9,2014-05-09 4:48,"30890 Gloria Oval Friedmanshire, OK 78837-9606",Harris-Pratt,0
Sarah Schmidt,1,41,10631.84,1,3.47,9,2008-04-12 10:56,"461 Alexandria Station Kennethton, WY 83953","Thomas, Powers and Price",0
Melissa Hall,0,32,10716.75,0,5.12,8,2006-09-27 19:54,"550 Lindsay Bypass Suite 011 South Jamietown, MH 27730-3707","Bates, Montgomery and Rodriguez",0
Annette Taylor,1,41,10919.81,0,4.63,8,2013-04-07 23:27,"27767 Amy Curve Lake Daniel, NM 73021-5259",Zimmerman Group,0
Robert Allen,1,48,10241.32,1,7.25,7,2014-10-29 10:48,"510 Nicholas Island Suite 493 Buckchester, MO 58572-4430",Williams Ltd,0
Jessica Howard,0,46,9171.56,1,5.02,8,2011-11-07 15:05,"8486 Brandon Fall Apt. 024 Matthewberg, SC 32892-2661",Mullins Ltd,0
Michael Lam,0,40,7675.52,1,4.31,11,2012-05-27 0:16,"63714 Sawyer Glens New Tonimouth, FL 73286-2490",Olson-Davis,0
Nancy Thompson,1,36,13308.01,0,5.07,8,2009-01-20 0:52,"847 Holly Loaf Apt. 839 East Nancyberg, DC 64194-2557",Garcia-Mckinney,0
Steve Lewis,0,37,7961.21,0,2.91,9,2014-06-12 12:47,"865 Mitchell Causeway Suite 183 Meredithshire, AR 80502-3040",Clarke-Gonzalez,0
Amanda Brown,1,32,12403.6,0,4.99,7,2008-05-30 3:35,"48681 Jensen Vista South Kevin, ND 80285",Hoffman Ltd,0
Danielle Morris,0,46,10814.59,0,4.91,8,2010-05-09 12:25,"773 Brenda Vista Jensenshire, CO 78345","Cooper, Cohen and Knight",0
Jessica Hernandez,1,31,8829.83,1,4.52,8,2006-02-02 21:26,"6113 Jerome Locks North Trevormouth, GA 25773",Hunt-Whitaker,0
Nicole Richards,0,52,7170.66,1,4.53,7,2014-05-11 16:14,"0667 Bennett Forge Ingramchester, VI 46819-7446",Fisher-Hamilton,0
Lauren Johnson,1,47,10332.16,1,4.89,9,2016-08-06 0:18,"2959 Amanda Plain Suite 180 Webbside, NY 47046","Davenport, Miller and Murphy",0
Wendy Moore,1,41,14722.35,0,6.98,6,2011-05-28 8:09,"8202 Jade Unions Suite 557 South Wesley, MS 12025",Walker-Harris,0
Destiny Steele,0,39,13532.85,1,5.63,9,2010-11-13 11:16,"0784 Arnold Mountains Apt. 356 Thompsonview, IL 54999-9574",Hall LLC,0
Dakota Porter,1,41,7683.97,1,6.17,7,2007-08-23 19:38,"1005 Butler Manors Richardland, KS 45645-6252",Nguyen PLC,0
Sara Campbell,0,47,6398.91,1,5,8,2013-02-16 16:40,"931 Soto Bridge Apt. 205 Michelleland, NM 64707-3332",Conner LLC,0
Manuel Hill,1,37,14595.51,1,3.83,12,2007-01-02 22:09,"7589 Munoz Mountain Port Gina, VI 08937-6155","Hill, Abbott and Wu",0
Douglas Lee,0,48,6783.99,1,3.89,8,2012-03-29 2:43,"088 Ayala Crossroad Lindafurt, MI 82946-5835","Jensen, Morton and Edwards",0
Charles Doyle,1,35,8190.27,0,6.28,7,2012-03-07 17:36,Unit 1897 Box 1607 DPO AE 86804,Smith-Carroll,0
Rebecca Hamilton,0,45,9317.12,1,6.93,6,2013-12-16 7:56,"75047 Jones Ports Apt. 238 Port Zacharymouth, HI 02693",Lee-Roman,0
Dominique Kemp,1,40,10370.72,1,4.35,5,2016-03-28 2:06,"478 James Spurs North Thomas, MT 77158-1870",Richardson Inc,0
Thomas Parker,1,42,12277.9,1,5.1,8,2009-01-20 7:54,"10575 Jacob Manors Apt. 623 Port Jonathanview, WV 63831-0620",Cook LLC,0
Aaron West,1,55,10056.55,0,4.98,8,2006-09-01 6:11,"071 Schmidt Locks Apt. 070 West Jessica, OK 60879-6593","Cruz, Russell and Boyd",0
Samantha Clark,0,35,12398.62,1,5.6,9,2016-11-17 9:21,"0385 Smith Spring West Douglasmouth, CA 33773-7684",Grimes Inc,0
Patrick Campos,1,40,10290.14,0,4.6,10,2013-10-23 1:16,"53895 Michael Ways Port Michael, FM 10805","Fernandez, Rodgers and Miller",0
Kevin Hicks DDS,1,49,9957.26,0,4.76,7,2009-09-01 11:37,"096 Dunn Street Jasonshire, NC 06461-2275","Cooper, Mcguire and Nguyen",0
Joseph Hall,0,35,13480.91,1,4.41,7,2008-06-19 23:34,"6926 Martin Ramp Thomastown, AZ 58814",Anderson PLC,0
